216,26.20
2238,26.20
4261,26.20
6286,26.20
8309,26.20
10332,26.20
12354,26.70
14379,26.70
16401,26.70
18423,27.10
20446,27.10
22469,27.60
24492,27.60
26515,28.00
28539,28.00
30562,28.50
32584,28.50
-30927,28.90
-28905,28.90
-26883,29.30
-24860,29.30
-22837,29.80
-20812,29.80
-18790,30.20
-16767,30.20
-14745,30.80
-12721,30.80
-10698,30.80
-8676,31.30
-6653,31.30
-4629,31.30
-2607,31.80
-584,31.80
1438,31.80
3463,31.80
5486,32.30
7508,32.30
9531,32.30
11553,32.30
13576,32.80
15598,32.80
17620,32.80
19645,32.80
21668,32.80
23691,33.30
25713,33.30
27736,33.30
29758,33.30
31780,33.30
-31732,33.30
-29708,33.80
-27684,33.80
-25662,33.80
-23640,33.80
-21617,33.80
-19595,33.80
-17570,33.80
-15547,34.20
-13524,34.20
-11502,34.20
-9480,34.20
-7455,34.20
-5432,34.20
-3409,34.20
-1387,34.20
635,34.20
2658,34.20
4682,34.70
6706,34.70
8728,34.70
10750,34.70
12773,34.70
14797,34.70
16820,34.70
18842,34.70
20865,34.70
22889,34.70
24911,34.70
26934,34.70
28956,34.70
30980,35.00
-32532,35.20
-30509,35.20
-28486,35.20
-26464,35.20
-24441,35.20
-22418,35.20
-20393,35.20
-18370,35.20
-16348,35.20
-14325,35.20
-12303,35.20
-10280,35.20
-8256,35.20
-6233,35.20
-4209,35.20
-2187,35.20
-164,35.20
1858,35.20
3880,35.20
5903,35.60
7927,35.60
9951,35.60
11973,35.60
13996,35.60
16018,35.60
18041,35.60
20066,35.60
