2021,31.80
4045,32.30
6068,32.30
8090,32.30
10113,32.30
12137,32.70
14160,32.80
16183,32.80
18205,32.80
20228,32.80
22250,33.30
24273,33.30
26298,33.30
28321,33.30
30344,33.30
32366,33.30
-31148,33.80
-29125,33.80
-27101,33.80
-25077,33.80
-23055,33.80
-21032,33.80
-19010,34.20
-16987,34.20
-14962,34.20
-12940,34.20
-10917,34.20
-8895,34.20
-6872,34.20
-4847,34.20
-2825,34.60
-802,34.70
1220,34.70
3243,34.70
5267,34.70
7289,34.70
9312,34.70
11334,34.70
13357,34.70
15381,34.70
17403,34.70
19426,35.10
21448,35.20
23472,35.20
25496,35.20
27518,35.20
29541,35.20
31563,35.20
